run_id,platform_id,workload,scenario,run_kind,benign_hours,false_alerts,detected,detection_delay_seconds,warning_episodes,confirmed_alert_episodes,full_tier_fraction
m2_macos__py_stats__thermal_shift__r02,M2_MACOS,PY_STATS,THERMAL_SHIFT,targeted_extension,0.0,0,True,147.48673183401115,1,1,0.041666666666666664
m2_macos__py_stats__tlb__r02,M2_MACOS,PY_STATS,TLB,required_matrix,0.0,0,True,127.48136608407367,1,1,0.041666666666666664
m2_macos__py_stats__v2_independent_confirmation__f0,M2_MACOS,PY_STATS,NOMINAL,v2_failed_confirmation_development,1.05,0,False,,0,0,0.0
m2_macos__py_stats__v2_independent_confirmation__f1,M2_MACOS,PY_STATS,NOMINAL,v2_failed_confirmation_development,1.05,1,False,,1,1,0.007692307692307693
m2_macos__py_stats__v3_independent_confirmation__f0,M2_MACOS,PY_STATS,NOMINAL,v3_failed_confirmation_development,1.05,1,False,,1,1,0.007692307692307693
m2_macos__py_stats__v3_independent_confirmation__f1,M2_MACOS,PY_STATS,NOMINAL,v3_failed_confirmation_development,1.05,0,False,,1,0,0.007692307692307693
m2_macos__video_sw__atomic__r02,M2_MACOS,VIDEO_SW,ATOMIC,required_matrix,0.0,0,False,,0,0,0.0
m2_macos__video_sw__branch__r02,M2_MACOS,VIDEO_SW,BRANCH,required_matrix,0.0,0,True,357.49190641602036,1,1,0.041666666666666664
m2_macos__video_sw__cache__r02,M2_MACOS,VIDEO_SW,CACHE,required_matrix,0.0,0,False,,0,0,0.0
m2_macos__video_sw__controlled_crash__r02,M2_MACOS,VIDEO_SW,CONTROLLED_CRASH,required_matrix,0.0,0,False,,0,0,0.0
m2_macos__video_sw__membw__r02,M2_MACOS,VIDEO_SW,MEMBW,required_matrix,0.0,0,True,412.48755929106846,1,1,0.041666666666666664
m2_macos__video_sw__telemetry_interruption__r02,M2_MACOS,VIDEO_SW,TELEMETRY_INTERRUPTION,required_matrix,0.0,0,False,,1,1,0.020833333333333332
m2_macos__video_sw__tlb__r02,M2_MACOS,VIDEO_SW,TLB,required_matrix,0.0,0,False,,0,0,0.0
m2_macos__video_sw__v2_independent_confirmation__f0,M2_MACOS,VIDEO_SW,NOMINAL,v2_failed_confirmation_development,1.05,0,False,,0,0,0.0
m2_macos__video_sw__v2_independent_confirmation__f1,M2_MACOS,VIDEO_SW,NOMINAL,v2_failed_confirmation_development,1.05,0,False,,0,0,0.0
m2_macos__video_sw__v3_independent_confirmation__f0,M2_MACOS,VIDEO_SW,NOMINAL,v3_failed_confirmation_development,1.05,0,False,,0,0,0.0
m2_macos__video_sw__v3_independent_confirmation__f1,M2_MACOS,VIDEO_SW,NOMINAL,v3_failed_confirmation_development,1.05,0,False,,0,0,0.0
