C,threshold,consecutive,false_alerts,benign_hours,fah,detected,runs,detection,ttd,telemetry_fault_identification_rate
0.003,0.85,48,1,7.466666666666667,0.13392857142857142,36,120,0.3,242.4975029961206,1.0
0.003,0.85,52,1,7.466666666666667,0.13392857142857142,35,120,0.2916666666666667,262.49694989807904,1.0
0.003,0.85,56,1,7.466666666666667,0.13392857142857142,33,120,0.275,282.49694989807904,1.0
0.003,0.85,60,1,7.466666666666667,0.13392857142857142,33,120,0.275,302.49805609416217,1.0
0.003,0.9,1,55,7.466666666666667,7.366071428571429,96,120,0.8,7.49823000386823,1.0
0.003,0.9,2,34,7.466666666666667,4.553571428571429,85,120,0.7083333333333334,17.486954333027825,1.0
0.003,0.9,3,21,7.466666666666667,2.8125,79,120,0.6583333333333333,27.48736391705461,1.0
0.003,0.9,4,14,7.466666666666667,1.875,77,120,0.6416666666666667,42.49708052398637,1.0
0.003,0.9,5,14,7.466666666666667,1.875,76,120,0.6333333333333333,49.991864365467336,1.0
0.003,0.9,6,11,7.466666666666667,1.4732142857142856,69,120,0.575,52.49868798092939,1.0
0.003,0.9,8,9,7.466666666666667,1.2053571428571428,65,120,0.5416666666666666,72.49688929296099,1.0
0.003,0.9,10,8,7.466666666666667,1.0714285714285714,59,120,0.49166666666666664,57.4963148010429,1.0
0.003,0.9,12,7,7.466666666666667,0.9375,55,120,0.4583333333333333,67.4963148010429,1.0
0.003,0.9,16,5,7.466666666666667,0.6696428571428571,49,120,0.4083333333333333,82.49842630303465,1.0
0.003,0.9,20,4,7.466666666666667,0.5357142857142857,46,120,0.38333333333333336,102.49836828443222,1.0
0.003,0.9,22,3,7.466666666666667,0.4017857142857143,45,120,0.375,112.49831026582979,1.0
0.003,0.9,24,3,7.466666666666667,0.4017857142857143,42,120,0.35,122.49813869944774,1.0
0.003,0.9,26,2,7.466666666666667,0.26785714285714285,41,120,0.3416666666666667,132.4981276569888,1.0
0.003,0.9,28,2,7.466666666666667,0.26785714285714285,41,120,0.3416666666666667,142.4981276569888,1.0
0.003,0.9,30,2,7.466666666666667,0.26785714285714285,38,120,0.31666666666666665,152.4980997350067,1.0
0.003,0.9,32,1,7.466666666666667,0.13392857142857142,37,120,0.30833333333333335,162.49810058483854,1.0
0.003,0.9,36,1,7.466666666666667,0.13392857142857142,37,120,0.30833333333333335,182.49810058483854,1.0
0.003,0.9,38,1,7.466666666666667,0.13392857142857142,37,120,0.30833333333333335,192.49810058483854,1.0
